MCAT ID,decoded_keyword,pageviews
6472,atta chakki machine,27
6472,commercial atta chakki machine,22
6472,flour mill machine,10
6472,aata chakki machine,9
6472,commercial flour mill machine,9
6472,10 inch regular flour mill,6
6472,flour grinding machine,6
6472,aata machine,5
6472,atta machine,5
6472,chakki machine,5
6472,commercial atta chakki,5
6472,commercial atta chakki machine 16 inch,5
6472,commercial flour mill,5
6472,commercial flour mill machine bihar,5
6472,flour milling machine,5
6472,millet flour machine,5
6472,16 inch commercial aata chakki bearing katori,4
6472,18 inch commercial atta chakki machine,4
6472,atta grinding machine,4
6472,atta gudane ki machine,4
6472,"commercial 18"""" 10 hp atta chakki machine",4
6472,commercial aata chakki,4
6472,commercial atta chakki machine in ambala,4
6472,gokul flour mill machine,4
